type,time,path_length,examined_nodes
manhattan,1.3587331771850586,24,1280
misplaced,12.439722776412964,24,11517
manhattan,5.415506362915039,30,4055
misplaced,1287.427048921585,30,820697
manhattan,1.1205666065216064,20,1343
misplaced,4.778635501861572,20,5383
manhattan,0.1246190071105957,20,153
misplaced,0.816826343536377,20,1056
manhattan,0.0835106372833252,22,93
misplaced,2.153917074203491,22,2654
manhattan,1.0708808898925781,24,1084
misplaced,32.8679096698761,24,28212
manhattan,12.707747459411621,28,10577
misplaced,101.04869174957275,26,78830
manhattan,0.38146400451660156,28,359
misplaced,176.44076776504517,28,130324
manhattan,1.736642837524414,28,1707
misplaced,289.36992144584656,28,207186
manhattan,0.262575626373291,18,324
misplaced,0.31832003593444824,18,467
manhattan,0.0762326717376709,20,102
misplaced,1.895339012145996,20,2342
manhattan,0.21434903144836426,20,266
misplaced,1.274763584136963,20,1642
manhattan,0.454606294631958,24,544
misplaced,54.23580265045166,24,45180
manhattan,0.03412485122680664,18,50
misplaced,0.22876620292663574,18,343
manhattan,5.364839553833008,26,7549
misplaced,148.0552191734314,26,106847
manhattan,42.00816249847412,30,24683
misplaced,1220.3264367580414,30,777472
manhattan,3.0761520862579346,24,2964
misplaced,39.3805513381958,24,33245
manhattan,1.0386035442352295,24,1113
misplaced,57.796955585479736,24,47021
manhattan,0.7735109329223633,26,795
misplaced,49.5861120223999,26,41385
manhattan,22.523584127426147,30,17246
misplaced,1345.6028363704681,30,864944
manhattan,4.348199844360352,30,3795
misplaced,589.5240607261658,30,409411
manhattan,0.7319185733795166,24,747
misplaced,23.760212659835815,24,23042
manhattan,0.36414432525634766,20,422
misplaced,2.314622640609741,20,2812
manhattan,14.804863214492798,28,12104
misplaced,554.8467955589294,28,376840
manhattan,14.275535583496094,28,12532
misplaced,381.5940637588501,28,267424
manhattan,2.737907886505127,26,2684
misplaced,104.7517569065094,26,83261
manhattan,0.32419657707214355,18,420
misplaced,0.7256679534912109,18,1011
manhattan,0.21674680709838867,22,274
misplaced,2.3600637912750244,22,2912
manhattan,9.74173378944397,30,8305
misplaced,760.726487159729,30,510242
manhattan,0.10995745658874512,20,141
misplaced,3.125715494155884,20,3639
manhattan,2.8830220699310303,26,2565
misplaced,43.87488341331482,26,40462
manhattan,12.810502529144287,30,10132
misplaced,1424.4637699127197,30,913315
manhattan,0.604644775390625,26,604
misplaced,27.171767234802246,26,26218
manhattan,2.842904806137085,24,2653
misplaced,19.790016651153564,24,19812
manhattan,7.420842885971069,28,6526
misplaced,173.111820936203,28,132551
manhattan,1.373720645904541,24,1395
misplaced,13.973628520965576,24,14107
manhattan,0.11336088180541992,20,148
misplaced,1.5423026084899902,20,1948
manhattan,0.16639399528503418,22,167
misplaced,3.0383007526397705,22,3594
manhattan,0.15666460990905762,18,215
misplaced,2.070016384124756,18,2473
manhattan,0.019969463348388672,18,28
misplaced,0.09420466423034668,18,152
manhattan,0.1197519302368164,20,158
misplaced,2.06274676322937,20,2490